5, Greyson V., https://s3-media4.fl.yelpcdn.com/photo/zet97TpPZOd9ZNQNkRo3Rg/o.jpg, 2017-02-27 09:31:17, I LOVE this place. 

I love their regular milk bubble tea, the taro and the coconut. More recently I've been here for the sushi burrito and sushi salad....
3, Yen P., https://s3-media2.fl.yelpcdn.com/photo/y0pDdLQiZY9WIFYSLXn8Dg/o.jpg, 2017-03-04 19:48:18, I'm writing this update because I just had to try out their new sushi bar and was totally craving boba! My rating still remains a 3 but I thought  I would...
5, Joe M., https://s3-media3.fl.yelpcdn.com/photo/kQIowrjTkgPpAb-BjR6xQQ/o.jpg, 2017-02-22 05:17:04, None of us has ever had bubble tea before, but now we love it.  Between the four of us we had taro (AWESOME), taro + coconut (FAVOTIRE), mango smoothie...
