5, David S., https://s3-media3.fl.yelpcdn.com/photo/Z2Xamz3GgfRFZUGwzaTANQ/o.jpg, 2016-12-22 15:57:43, I was looking for a go-to local Italian restaurant and, after my first visit, I feel I've found it. Despite what others have claimed, it is not a hole in...
3, Marissa N., https://s3-media4.fl.yelpcdn.com/photo/0Yw9koHQOEKFp6TDmiDzfw/o.jpg, 2017-01-12 18:21:11, Dishes were attractively plated, hearty servings for certain. I'm not an al dente fan..... 
The eggplant appetizer stuffed with cheese and ham was very...
3, Amy L., https://s3-media2.fl.yelpcdn.com/photo/rNbgQeV5CBnUYhhaR7l2Xg/o.jpg, 2016-11-19 16:42:21, Warm, Cozy and Family Owned location in Henrietta. Have been several times and have found some excellent online deals on top of their already pretty...
