4, Katie B., https://s3-media4.fl.yelpcdn.com/photo/cgHfbor1CZt1fctxTB0dpg/o.jpg, 2017-03-08 19:06:30, Definitely one of my favorite finds in Rochester. We've only been here twice, but oh my both meals left me wanting more. 

The first time, I got the chicken...
3, Sneha M., https://s3-media1.fl.yelpcdn.com/photo/4YQ4nA60nLKMsHaWkM9rIA/o.jpg, 2017-03-18 15:11:38, We got the Korean fried chicken (with gochujang sauce). It was too salty and sweet. I miss you, Bonchon! 

We also got the ramen. The noodles were too soft...
2, Yen P., https://s3-media2.fl.yelpcdn.com/photo/y0pDdLQiZY9WIFYSLXn8Dg/o.jpg, 2017-02-11 20:37:14, I gave butapub a second chance before writing this review. The main reason for such a low rating is because of the service. The first time I was here, it...
