5, Rob P., https://s3-media4.fl.yelpcdn.com/photo/pcuk7_2FfDYMh2J2S9rtJQ/o.jpg, 2017-01-26 19:18:45, This place is a gem.

Consistently great food, good value, professional servers, and genuine hosts are part of the reason this place is great and why its on...
4, PJ C., https://s3-media3.fl.yelpcdn.com/photo/P9obZCf6U7arG_J7FyWkZw/o.jpg, 2016-11-23 10:08:19, After living within 3 miles of this place for the last 15 years we finally decided to give it a try.  Having read the reviews we were ready to be some of...
4, Stanley M., https://s3-media3.fl.yelpcdn.com/photo/ZG2L6C9cqUMfj89d9sAgZA/o.jpg, 2015-08-28 17:18:29, Charley Brown's is an old family favorite... And it's legacy is grand. Reportedly a favorite of Tom Golisanos (purportedly a fan of the chopped sirloin...
