5, Artrell W., https://s3-media2.fl.yelpcdn.com/photo/E5_8nBTeOpco39SICXIDdg/o.jpg, 2017-03-16 13:56:09, This is definitely a favorite spot of mine in Rochester. I recently ate here for my third time in about a year and "ne'er" time has disappointed me. If...
5, Greyson V., https://s3-media4.fl.yelpcdn.com/photo/zet97TpPZOd9ZNQNkRo3Rg/o.jpg, 2017-02-25 14:12:33, I cannot rave about this place enough. I frequent Tapas 177 with friends, coworkers and sometimes after a long day for a glass of wine. Their wine selection...
5, Jade M., https://s3-media1.fl.yelpcdn.com/photo/IhW5YUoEI1N1_zpVITFOIw/o.jpg, 2016-12-12 12:28:10, Went here last night for a company Christmas party and had an absolute ball. The food was delicious, the ghouda meatballs and portabello mushroom with cream...
